trading_date,TF,TL,T,TS
2024-04-23,106.94699999999999,109.00000000000001,118.81000000000002,104.97299999999998
2024-04-24,106.83699999999999,108.27000000000001,118.53500000000003,104.93299999999999
2024-04-25,106.86699999999999,108.04,118.54000000000002,104.97299999999998
2024-04-26,106.737,107.43,118.41500000000002,104.901
2024-04-29,106.12199999999999,105.84,117.55500000000002,104.63699999999999
2024-04-30,106.40199999999999,106.74000000000001,117.93500000000002,104.75899999999999
2024-05-06,106.57699999999998,106.83000000000001,118.10000000000002,104.83099999999999
2024-05-07,106.74699999999999,106.98,118.34000000000002,104.913
2024-05-08,106.72699999999999,107.24000000000001,118.39000000000001,104.889
2024-05-09,106.68699999999998,106.99000000000001,118.33000000000001,104.89099999999999
2024-05-10,106.627,106.61000000000001,118.22000000000001,104.89099999999999
2024-05-13,106.74199999999999,107.13000000000001,118.39500000000002,104.94299999999998
2024-05-14,106.80199999999999,107.59,118.48000000000002,104.97899999999998
2024-05-15,106.767,107.29,118.39500000000002,104.95499999999998
2024-05-16,106.71199999999999,107.12,118.38000000000002,104.95299999999999
2024-05-17,106.66699999999999,106.91000000000001,118.25500000000002,104.93499999999999
2024-05-20,106.767,106.83000000000001,118.38500000000002,104.951
2024-05-21,106.65199999999999,106.66000000000001,118.27500000000002,104.93699999999998
2024-05-22,106.747,107.13000000000001,118.40000000000002,104.969
2024-05-23,106.817,107.51,118.51500000000001,105.00099999999999
2024-05-24,106.792,107.60000000000001,118.48500000000001,104.97699999999999
2024-05-27,106.752,107.46000000000001,118.43500000000002,104.963
2024-05-28,106.817,107.94000000000001,118.56500000000003,104.98299999999999
2024-05-29,106.872,108.29,118.65000000000002,105.00899999999999
2024-05-30,106.892,108.30000000000001,118.67000000000002,105.00299999999999
2024-05-31,106.867,107.92000000000002,118.56000000000002,105.011
2024-06-03,106.922,107.92000000000002,118.64000000000001,105.02699999999999
2024-06-04,106.912,107.91000000000001,118.66500000000002,105.023
2024-06-05,107.012,108.2,118.83000000000001,105.07099999999998
2024-06-06,107.002,108.13000000000001,118.78000000000002,105.06099999999999
